transform,n,param,value,relerr
tanh_symmetric,32,4.0,5.3955078203860855e-5,3.573211548895032e-5
tanh_symmetric,32,8.0,5.3939905559197384e-5,0.00031693090192113136
adaptive_right,32,4.0,5.395698551880681e-5,3.833242898861777e-7
adaptive_right,32,6.0,5.395698551880681e-5,3.833242898861777e-7
adaptive_right,32,8.0,5.395698551880681e-5,3.833242898861777e-7
DE,32,0.08,4.9538029194860694e-5,0.08189811329500121
DE,32,0.1,5.3108421145919916e-5,0.0157270596656839
DE,32,0.12,5.390015795758138e-5,0.0010535841081298436
erf_cluster,32,2.0,5.089016003009702e-5,0.05683870154449775
erf_cluster,32,3.0,5.3908826889146774e-5,0.000892920420953267
erf_cluster,32,4.0,5.39569435851399e-5,1.1604924440385786e-6
tanh_symmetric,64,4.0,5.395651540583404e-5,9.09605699801784e-6
tanh_symmetric,64,8.0,5.3957008910222114e-5,5.0195227782598764e-8
adaptive_right,64,4.0,5.39570055554804e-5,1.1979120879481914e-8
adaptive_right,64,6.0,5.39570055554804e-5,1.1979120879481914e-8
adaptive_right,64,8.0,5.39570055554804e-5,1.1979120879481914e-8
DE,64,0.08,5.3956999940182464e-5,1.1604897813567417e-7
DE,64,0.1,5.3957006202517556e-5,1.2596311113601034e-11
DE,64,0.12,5.3957006201572776e-5,4.9135660251210416e-12
erf_cluster,64,2.0,5.089016002926458e-5,0.056838701559925535
erf_cluster,64,3.0,5.390882689971943e-5,0.0008929202250072867
erf_cluster,64,4.0,5.395693978545233e-5,1.2309130962460163e-6
tanh_symmetric,32,4.0,-5.10318566703689e-11,0.2581662120620211
tanh_symmetric,32,8.0,-2.0031438656221693e-8,492.8656153360176
adaptive_both,32,4.0,-5.10318566703689e-11,0.2581662120620211
adaptive_both,32,6.0,-1.015437142038279e-9,24.035120921383292
adaptive_both,32,8.0,-2.0031438656221693e-8,492.8656153360176
DE,32,0.08,-4.9377229302249244e-8,1216.372159406476
DE,32,0.1,-7.097183771401848e-9,173.9776983355868
DE,32,0.12,-4.2412983753395495e-10,9.456719898698505
erf_cluster,32,2.0,-3.165544231778501e-8,779.4499101291949
erf_cluster,32,3.0,-3.64333901231639e-10,7.982479461785888
erf_cluster,32,4.0,-4.095542895390037e-11,0.009736667884624744
tanh_symmetric,64,4.0,-4.277873112493095e-11,0.054689317771298485
tanh_symmetric,64,8.0,-4.1772009216640436e-11,0.02986906680266812
adaptive_both,64,4.0,-4.277873112493095e-11,0.054689317771298485
adaptive_both,64,6.0,-4.058308540783454e-11,0.00055671442995456
adaptive_both,64,8.0,-4.1772009216640436e-11,0.02986906680266812
DE,64,0.08,-4.059078639536497e-11,0.000746578623469729
DE,64,0.1,-4.056050335718632e-11,3.531380224183274e-8
DE,64,0.12,-4.0560482500528656e-11,5.495248006571232e-7
erf_cluster,64,2.0,-3.165544231781384e-8,779.4499101299058
erf_cluster,64,3.0,-3.6433390074678354e-10,7.982479449832007
erf_cluster,64,4.0,-4.0911436922721304e-11,0.008652065229718458
tanh_symmetric,32,4.0,-2.3084162865295582e-5,0.0009615857176359872
tanh_symmetric,32,8.0,-2.309940038694166e-5,0.0003021349265580516
adaptive_left,32,4.0,-2.3106382692498566e-5,4.5902450630068225e-8
adaptive_left,32,6.0,-2.3106382692498566e-5,4.5902450630068225e-8
adaptive_left,32,8.0,-2.3106382692498566e-5,4.5902450630068225e-8
DE,32,0.08,-9.487327777390842e-6,0.5894066008020167
DE,32,0.1,-1.8801391182722304e-5,0.1863117522131206
DE,32,0.12,-2.2680760095642856e-5,0.018420085974401198
erf_cluster,32,2.0,-1.2306018460606745e-5,0.46741905951907087
erf_cluster,32,3.0,-2.2743050042340035e-5,0.01572429622723914
erf_cluster,32,4.0,-2.3106515927239904e-5,5.8120472092804755e-6
tanh_symmetric,64,4.0,-2.310070197453757e-5,0.00024580470503541944
tanh_symmetric,64,8.0,-2.3106409507715124e-5,1.2064137321084537e-6
adaptive_left,64,4.0,-2.31063817334531e-5,4.396797326430905e-9
adaptive_left,64,6.0,-2.31063817334531e-5,4.396797326430905e-9
adaptive_left,64,8.0,-2.31063817334531e-5,4.396797326430905e-9
DE,64,0.08,-2.3106316227306248e-5,2.8305839407465984e-6
DE,64,0.1,-2.3106381632046923e-5,8.131909865811324e-12
DE,64,0.12,-2.3106381633043877e-5,5.1278188961795963e-11
erf_cluster,64,2.0,-1.2306018459913433e-5,0.4674190595490761
erf_cluster,64,3.0,-2.274305950129561e-5,0.015723886861734614
erf_cluster,64,4.0,-2.3105740126510877e-5,2.7763124420255503e-5
