process,s,t,M_squared
ssbar_to_uubar,31.1578947368421,-12.324159248761415,5829.708762540214
ssbar_to_uubar,31.1578947368421,-12.21351168676413,5775.08396497997
ssbar_to_uubar,31.1578947368421,-12.102864124766846,5720.752941660178
ssbar_to_uubar,31.1578947368421,-11.992216562769562,5666.715692580839
ssbar_to_uubar,31.1578947368421,-11.881569000772277,5612.972217741949
ssbar_to_uubar,31.1578947368421,-11.770921438774993,5559.5225171435095
ssbar_to_uubar,31.1578947368421,-11.660273876777708,5506.366590785523
ssbar_to_uubar,31.1578947368421,-11.549626314780424,5453.504438667987
ssbar_to_uubar,31.1578947368421,-11.43897875278314,5400.936060790902
ssbar_to_uubar,31.1578947368421,-11.328331190785855,5348.661457154268
ssbar_to_uubar,31.1578947368421,-11.21768362878857,5296.680627758085
ssbar_to_uubar,31.1578947368421,-11.107036066791286,5244.993572602355
ssbar_to_uubar,31.1578947368421,-10.996388504794002,5193.600291687075
ssbar_to_uubar,31.1578947368421,-10.885740942796717,5142.500785012245
ssbar_to_uubar,31.1578947368421,-10.775093380799433,5091.695052577868
ssbar_to_uubar,31.1578947368421,-10.664445818802148,5041.183094383943
ssbar_to_uubar,31.1578947368421,-10.553798256804864,4990.964910430467
ssbar_to_uubar,31.1578947368421,-10.44315069480758,4941.040500717443
ssbar_to_uubar,31.1578947368421,-10.332503132810295,4891.40986524487
ssbar_to_uubar,31.1578947368421,-10.22185557081301,4842.073004012749
ssbar_to_uubar,31.1578947368421,-10.111208008815726,4793.029917021078
ssbar_to_uubar,31.1578947368421,-10.000560446818442,4744.2806042698585
ssbar_to_uubar,31.1578947368421,-9.889912884821157,4695.825065759092
ssbar_to_uubar,31.1578947368421,-9.779265322823873,4647.663301488775
ssbar_to_uubar,31.1578947368421,-9.668617760826589,4599.795311458909
ssbar_to_uubar,31.1578947368421,-9.557970198829304,4552.221095669495
ssbar_to_uubar,31.1578947368421,-9.44732263683202,4504.940654120533
ssbar_to_uubar,31.1578947368421,-9.336675074834735,4457.953986812022
ssbar_to_uubar,31.1578947368421,-9.226027512837451,4411.26109374396
ssbar_to_uubar,31.1578947368421,-9.115379950840167,4364.861974916351
ssbar_to_uubar,31.1578947368421,-9.004732388842882,4318.756630329192
ssbar_to_uubar,31.1578947368421,-8.894084826845598,4272.945059982487
ssbar_to_uubar,31.1578947368421,-8.783437264848313,4227.4272638762295
ssbar_to_uubar,31.1578947368421,-8.672789702851027,4182.203242010424
ssbar_to_uubar,31.1578947368421,-8.562142140853743,4137.272994385072
ssbar_to_uubar,31.1578947368421,-8.451494578856458,4092.63652100017
ssbar_to_uubar,31.1578947368421,-8.340847016859174,4048.2938218557188
ssbar_to_uubar,31.1578947368421,-8.23019945486189,4004.2448969517186
ssbar_to_uubar,31.1578947368421,-8.119551892864605,3960.4897462881713
ssbar_to_uubar,31.1578947368421,-8.00890433086732,3917.0283698650733
ssbar_to_uubar,31.1578947368421,-7.898256768870037,3873.8607676824286
ssbar_to_uubar,31.1578947368421,-7.7876092068727525,3830.986939740233
ssbar_to_uubar,31.1578947368421,-7.676961644875468,3788.4068860384896
ssbar_to_uubar,31.1578947368421,-7.566314082878184,3746.120606577196
ssbar_to_uubar,31.1578947368421,-7.455666520880899,3704.1281013563557
ssbar_to_uubar,31.1578947368421,-7.345018958883615,3662.4293703759654
ssbar_to_uubar,31.1578947368421,-7.23437139688633,3621.024413636027
ssbar_to_uubar,31.1578947368421,-7.123723834889046,3579.9132311365393
ssbar_to_uubar,31.1578947368421,-7.0130762728917615,3539.0958228775025
ssbar_to_uubar,31.1578947368421,-6.902428710894477,3498.572188858917
ssbar_to_uubar,31.1578947368421,-6.791781148897192,3458.342329080784
ssbar_to_uubar,31.1578947368421,-6.681133586899907,3418.406243543101
ssbar_to_uubar,31.1578947368421,-6.570486024902623,3378.763932245869
ssbar_to_uubar,31.1578947368421,-6.4598384629053385,3339.4153951890885
ssbar_to_uubar,31.1578947368421,-6.349190900908054,3300.36063237276
ssbar_to_uubar,31.1578947368421,-6.23854333891077,3261.5996437968815
ssbar_to_uubar,31.1578947368421,-6.127895776913485,3223.132429461454
ssbar_to_uubar,31.1578947368421,-6.017248214916201,3184.9589893664793
ssbar_to_uubar,31.1578947368421,-5.906600652918916,3147.079323511956
ssbar_to_uubar,31.1578947368421,-5.795953090921632,3109.493431897882
ssbar_to_uubar,31.1578947368421,-5.6853055289243475,3072.2013145242595
ssbar_to_uubar,31.1578947368421,-5.574657966927063,3035.2029713910897
ssbar_to_uubar,31.1578947368421,-5.464010404929779,2998.498402498371
ssbar_to_uubar,31.1578947368421,-5.353362842932494,2962.087607846102
ssbar_to_uubar,31.1578947368421,-5.24271528093521,2925.9705874342844
ssbar_to_uubar,31.1578947368421,-5.132067718937925,2890.1473412629193
ssbar_to_uubar,31.1578947368421,-5.021420156940641,2854.617869332005
ssbar_to_uubar,31.1578947368421,-4.9107725949433565,2819.382171641541
ssbar_to_uubar,31.1578947368421,-4.800125032946072,2784.4402481915286
ssbar_to_uubar,31.1578947368421,-4.689477470948788,2749.7920989819677
ssbar_to_uubar,31.1578947368421,-4.578829908951503,2715.437724012859
ssbar_to_uubar,31.1578947368421,-4.468182346954219,2681.3771232842
ssbar_to_uubar,31.1578947368421,-4.357534784956934,2647.610296795992
ssbar_to_uubar,31.1578947368421,-4.24688722295965,2614.137244548236
ssbar_to_uubar,31.1578947368421,-4.1362396609623655,2580.957966540932
ssbar_to_uubar,31.1578947368421,-4.025592098965081,2548.0724627740774
ssbar_to_uubar,31.1578947368421,-3.914944536967796,2515.480733247675
ssbar_to_uubar,31.1578947368421,-3.804296974970512,2483.182777961724
ssbar_to_uubar,31.1578947368421,-3.6936494129732274,2451.178596916223
ssbar_to_uubar,31.1578947368421,-3.583001850975943,2419.4681901111744
ssbar_to_uubar,31.1578947368421,-3.4723542889786585,2388.0515575465765
ssbar_to_uubar,31.1578947368421,-3.361706726981374,2356.928699222431
ssbar_to_uubar,31.1578947368421,-3.2510591649840896,2326.0996151387353
ssbar_to_uubar,31.1578947368421,-3.140411602986805,2295.5643052954915
ssbar_to_uubar,31.1578947368421,-3.029764040989521,2265.322769692698
ssbar_to_uubar,31.1578947368421,-2.9191164789922364,2235.375008330357
ssbar_to_uubar,31.1578947368421,-2.808468916994952,2205.7210212084665
ssbar_to_uubar,31.1578947368421,-2.6978213549976675,2176.3608083270274
ssbar_to_uubar,31.1578947368421,-2.587173793000383,2147.294369686039
ssbar_to_uubar,31.1578947368421,-2.4765262310030987,2118.5217052855023
ssbar_to_uubar,31.1578947368421,-2.3658786690058142,2090.0428151254164
ssbar_to_uubar,31.1578947368421,-2.2552311070085294,2061.857699205783
ssbar_to_uubar,31.1578947368421,-2.144583545011245,2033.9663575265988
ssbar_to_uubar,31.1578947368421,-2.0339359830139605,2006.3687900878674
ssbar_to_uubar,31.1578947368421,-1.9232884210166763,1979.0649968895866
ssbar_to_uubar,31.1578947368421,-1.8126408590193916,1952.0549779317573
ssbar_to_uubar,31.1578947368421,-1.7019932970221072,1925.3387332143786
ssbar_to_uubar,31.1578947368421,-1.5913457350248228,1898.916262737452
ssbar_to_uubar,31.1578947368421,-1.4806981730275384,1872.7875665009756
ssbar_to_uubar,31.1578947368421,-1.370050611030254,1846.9526445049514
