xi,mu_MeV,T_crossover_chiral_MeV,T_crossover_deconf_MeV,rho_chiral,rho_deconf
0.0,0.0,200.15676398026315,175.76120476973682,0.0,0.0
0.0,20.801046019719266,199.82473273026312,175.56897615131578,0.3736006026009227,0.030933489296670363
0.0,41.60209203943853,198.8635896381579,174.4680304276316,0.7390875706207142,0.0551374978310556
0.0,62.4031380591578,197.22090871710523,172.38846628289474,1.0871656974187,0.38745629604982523
0.0,83.20418407887706,194.91416529605263,170.04677220394737,1.4098888259288866,0.35292782230106695
0.0,104.00523009859634,191.92588404605263,166.70898437499997,1.698857627927758,1.0889136368196033
0.0,124.8062761183156,188.22111430921052,165.18863075657896,1.9446169871693118,0.44664486842679746
0.0,145.60732213803487,183.79985608552633,163.17896792763156,2.1401797757595484,0.541664262401368
0.0,166.40836815775413,178.60968338815792,160.8372738486842,2.274728424379636,0.6490825365691472
0.0,187.20941417747338,172.68554687500003,158.16354851973685,2.345781008402083,0.7766236856080596
0.0,208.01046019719269,166.02744654605263,155.1403166118421,2.349971608056552,0.9381494160318413
0.0,228.8115062169119,158.6878083881579,151.78505345394737,2.29658255246799,1.1720569355487547
0.0,249.6125522366312,150.66663240131578,148.115234375,2.2084905078672863,1.6127711230584516
0.0,270.41359825635044,141.64936266447367,141.24743009868422,2.0895662991331214,1.9218476681807959
0.0,291.21464427606975,130.98941200657893,130.98941200657893,1.857148945947568,1.857148945947568
